input;measured;model;input
2.600000;55.721815;77.973997;2.600000
2.600000;58.238441;77.973997;2.600000
2.600000;59.647752;77.973997;2.600000
2.600000;49.933575;77.973997;2.600000
2.600000;50.487233;77.973997;2.600000
2.600000;52.651531;77.973997;2.600000
2.600000;54.614500;77.973997;2.600000
2.600000;56.678133;77.973997;2.600000
2.600000;53.809179;77.973997;2.600000
2.600000;51.040890;77.973997;2.600000
2.600000;53.557517;77.973997;2.600000
2.600000;53.859512;77.973997;2.600000
2.600000;56.174808;77.973997;2.600000
2.600000;57.936446;77.973997;2.600000
2.600000;49.329585;77.973997;2.600000
2.600000;49.379917;77.973997;2.600000
2.600000;52.500534;77.973997;2.600000
2.600000;54.312505;77.973997;2.600000
2.600000;57.785449;77.973997;2.600000
2.600000;59.396090;77.973997;2.600000
2.600000;51.946876;77.973997;2.600000
2.600000;53.909844;77.973997;2.600000
2.600000;55.923145;77.973997;2.600000
2.600000;56.829131;77.973997;2.600000
2.600000;59.245092;77.973997;2.600000
2.600000;49.832910;77.973997;2.600000
2.600000;51.342886;77.973997;2.600000
2.600000;52.903194;77.973997;2.600000
2.600000;55.520485;77.973997;2.600000
2.600000;58.993429;77.973997;2.600000
2.600000;49.279252;77.973997;2.600000
2.600000;52.802529;77.973997;2.600000
2.600000;55.319155;77.973997;2.600000
2.600000;58.641102;77.973997;2.600000
2.600000;58.792099;77.973997;2.600000
2.600000;49.983907;77.973997;2.600000
2.600000;51.544216;77.973997;2.600000
2.600000;54.463502;77.973997;2.600000
2.600000;55.067492;77.973997;2.600000
2.600000;58.691434;77.973997;2.600000
2.600000;49.983907;77.973997;2.600000
2.600000;53.003859;77.973997;2.600000
2.600000;54.966827;77.973997;2.600000
2.600000;59.094094;77.973997;2.600000
2.600000;50.134905;77.973997;2.600000
2.600000;51.393218;77.973997;2.600000
2.600000;52.802529;77.973997;2.600000
2.600000;54.966827;77.973997;2.600000
2.600000;58.288774;77.973997;2.600000
2.600000;58.943097;77.973997;2.600000
2.600000;50.537565;77.973997;2.600000
2.600000;52.550866;77.973997;2.600000
2.600000;56.476803;77.973997;2.600000
2.600000;57.936446;77.973997;2.600000
2.600000;50.386568;77.973997;2.600000
2.600000;52.450201;77.973997;2.600000
2.600000;55.168157;77.973997;2.600000
2.600000;55.520485;77.973997;2.600000
2.600000;58.490104;77.973997;2.600000
2.600000;49.077922;77.973997;2.600000
2.600000;51.393218;77.973997;2.600000
2.600000;52.198538;77.973997;2.600000
2.600000;55.168157;77.973997;2.600000
2.600000;58.087444;77.973997;2.600000
2.600000;60.503405;77.973997;2.600000
2.600000;51.493883;77.973997;2.600000
2.600000;54.362837;77.973997;2.600000
2.600000;57.584119;77.973997;2.600000
2.600000;57.886114;77.973997;2.600000
2.600000;49.480582;77.973997;2.600000
2.600000;51.443551;77.973997;2.600000
2.600000;54.211839;77.973997;2.600000
2.600000;54.916495;77.973997;2.600000
2.600000;58.741767;77.973997;2.600000
2.600000;48.775927;77.973997;2.600000
2.600000;52.349536;77.973997;2.600000
2.600000;54.211839;77.973997;2.600000
2.600000;58.842432;77.973997;2.600000
2.600000;50.084572;77.973997;2.600000
2.600000;52.299204;77.973997;2.600000
2.600000;53.154856;77.973997;2.600000
2.600000;55.973478;77.973997;2.600000
2.600000;58.892764;77.973997;2.600000
2.600000;60.553738;77.973997;2.600000
2.600000;50.839560;77.973997;2.600000
2.600000;53.607849;77.973997;2.600000
2.600000;57.181458;77.973997;2.600000
2.600000;59.345757;77.973997;2.600000
2.600000;52.148206;77.973997;2.600000
2.600000;54.916495;77.973997;2.600000
2.600000;58.691434;77.973997;2.600000
2.600000;58.993429;77.973997;2.600000
2.600000;50.436900;77.973997;2.600000
2.600000;52.198538;77.973997;2.600000
2.600000;55.419820;77.973997;2.600000
2.600000;56.124475;77.973997;2.600000
2.600000;60.050412;77.973997;2.600000
2.600000;51.040890;77.973997;2.600000
2.600000;54.161507;77.973997;2.600000
2.600000;56.527136;77.973997;2.600000
2.600000;54.715165;77.973997;2.600000
2.600000;51.342886;77.973997;2.600000
2.600000;52.601199;77.973997;2.600000
2.600000;54.312505;77.973997;2.600000
2.600000;56.124475;77.973997;2.600000
2.600000;59.043762;77.973997;2.600000
2.600000;59.748417;77.973997;2.600000
2.600000;51.040890;77.973997;2.600000
2.600000;53.205189;77.973997;2.600000
2.600000;56.778798;77.973997;2.600000
2.600000;58.238441;77.973997;2.600000
2.600000;50.789228;77.973997;2.600000
2.600000;53.003859;77.973997;2.600000
2.600000;55.872813;77.973997;2.600000
2.600000;56.426471;77.973997;2.600000
2.600000;60.000080;77.973997;2.600000
2.600000;50.940225;77.973997;2.600000
2.600000;53.859512;77.973997;2.600000
2.600000;55.822480;77.973997;2.600000
2.600000;60.100745;77.973997;2.600000
2.600000;51.493883;77.973997;2.600000
2.600000;54.966827;77.973997;2.600000
2.600000;48.121604;77.973997;2.600000
2.600000;52.097873;77.973997;2.600000
2.600000;56.174808;77.973997;2.600000
2.600000;57.584119;77.973997;2.600000
2.600000;49.228919;77.973997;2.600000
2.600000;51.544216;77.973997;2.600000
2.600000;55.973478;77.973997;2.600000
2.600000;57.483454;77.973997;2.600000
2.600000;50.487233;77.973997;2.600000
2.600000;53.154856;77.973997;2.600000
2.600000;58.137776;77.973997;2.600000
2.600000;48.775927;77.973997;2.600000
2.600000;53.859512;77.973997;2.600000
2.600000;57.382789;77.973997;2.600000
2.600000;49.681912;77.973997;2.600000
2.600000;50.889893;77.973997;2.600000
2.600000;54.715165;77.973997;2.600000
2.600000;58.188109;77.973997;2.600000
2.600000;49.530915;77.973997;2.600000
2.600000;51.745546;77.973997;2.600000
2.600000;56.074143;77.973997;2.600000
2.600000;48.826259;77.973997;2.600000
2.600000;51.997208;77.973997;2.600000
2.600000;56.426471;77.973997;2.600000
2.600000;49.027589;77.973997;2.600000
2.600000;53.003859;77.973997;2.600000
2.600000;54.312505;77.973997;2.600000
2.600000;58.137776;77.973997;2.600000
2.600000;49.480582;77.973997;2.600000
2.600000;53.708514;77.973997;2.600000
2.600000;54.815830;77.973997;2.600000
2.600000;59.295424;77.973997;2.600000
2.600000;50.285903;77.973997;2.600000
2.600000;54.513835;77.973997;2.600000
2.600000;56.829131;77.973997;2.600000
2.600000;50.487233;77.973997;2.600000
2.600000;53.406519;77.973997;2.600000
2.600000;55.822480;77.973997;2.600000
2.600000;57.382789;77.973997;2.600000
2.600000;60.654403;77.973997;2.600000
2.600000;51.242221;77.973997;2.600000
2.600000;53.205189;77.973997;2.600000
2.600000;55.319155;77.973997;2.600000
2.600000;58.590769;77.973997;2.600000
2.600000;50.839560;77.973997;2.600000
2.600000;52.701864;77.973997;2.600000
2.600000;56.476803;77.973997;2.600000
2.600000;59.446422;77.973997;2.600000
2.600000;50.537565;77.973997;2.600000
2.600000;50.839560;77.973997;2.600000
2.600000;53.104524;77.973997;2.600000
2.600000;54.664832;77.973997;2.600000
2.600000;57.483454;77.973997;2.600000
2.600000;57.936446;77.973997;2.600000
2.600000;50.134905;77.973997;2.600000
2.600000;51.946876;77.973997;2.600000
2.600000;54.966827;77.973997;2.600000
2.600000;57.131126;77.973997;2.600000
2.600000;49.279252;77.973997;2.600000
2.600000;51.443551;77.973997;2.600000
2.600000;52.450201;77.973997;2.600000
2.600000;53.356187;77.973997;2.600000
2.600000;55.067492;77.973997;2.600000
2.600000;57.332456;77.973997;2.600000
2.600000;57.584119;77.973997;2.600000
2.600000;49.027589;77.973997;2.600000
2.600000;50.839560;77.973997;2.600000
2.600000;53.406519;77.973997;2.600000
2.600000;54.413170;77.973997;2.600000
2.600000;58.540437;77.973997;2.600000
